order_id,order_date,category,product_name,region,city,customer_age,customer_segment,payment_method,unit_price,quantity,discount_pct,total_sales,rating,delivery_days
ORD10114,2024-08-26,Clothing,Denim Jacket,West,Gwadar,37.0,VIP,Wallet,31.27,2,0,62.54,5.0,9.0
ORD10796,2024-05-25,Clothing,Running Shoes,West,Gwadar,16.0,VIP,cash on delivery,15.65,4,20,50.08,4.0,2.0
ORD10818,2023-07-26,Electronics,USB-C Cable,South,Karachi,30.0,New,Bank Transfer,59.96,1,0,59.96,4.0,2.0
ORD10511,2024-12-03,Clothing,Denim Jacket,West,Gwadar,32.0,Returning,Debit Card,21.13,6,10,114.1,5.0,2.0
ORD10493,2024-07-20,Home & Kitchen,Blender,East,Lahore,16.0,Returning,credit card,38.67,1,5,36.74,4.0,5.0
ORD10837,2024-09-01,Books,Poetry Collection,Central,Multan,38.0,Returning,Credit Card,9.62,3,0,28.86,4.0,5.0
ORD10483,2023-01-12,Electronics,Wireless Mouse,South,Sukkur,52.0,New,credit card,51.17,3,10,138.16,5.0,1.0
ORD10272,2024-10-22,Electronics,USB-C Cable,North,Islamabad,50.0,New,COD,44.74,1,5,42.5,4.0,3.0
ORD10295,2024-01-15,Sports,Water Bottle,West,,48.0,Returning,Debit Card,31.81,2,0,63.62,5.0,3.0
ORD10596,2023-07-25,Books,Mystery Novel,South,Karachi,46.0,New,cash on delivery,19.13,2,0,38.26,4.0,2.0
ORD10787,2023-01-10,Sports,Resistance Bands,West,Gwadar,41.0,Returning,Wallet,30.41,1,0,30.41,4.0,6.0
ORD10659,2023-09-15,Beauty,Face Moisturizer,North,Gilgit,34.0,New,cash on delivery,13.33,1,0,13.33,5.0,1.0
ORD10748,2023-01-10,Books,Self-Help Guide,Central,Sahiwal,26.0,Returning,Wallet,14.43,1,10,12.99,4.0,2.0
ORD10854,2023-05-25,Beauty,Sunscreen SPF50,Central,Sahiwal,35.0,Returning,Credit Card,14.94,3,20,35.86,5.0,5.0
ORD10979,2024-03-21,Books,Self-Help Guide,South,Sukkur,49.0,New,cash on delivery,8.71,5,0,43.55,3.0,
ORD10718,2024-09-02,Clothing,Baseball Cap,East,Faisalabad,21.0,Returning,Bank Transfer,31.01,3,0,93.03,2.0,6.0
ORD10447,2023-08-03,Electronics,Laptop Stand,North,,39.0,Returning,credit card,52.44,1,0,52.44,5.0,2.0
ORD10914,2023-06-09,Electronics,Power Bank,South,Hyderabad,37.0,Returning,credit card,36.55,4,0,146.2,4.0,3.0
ORD10217,2023-04-19,Sports,Water Bottle,North,Peshawar,38.0,New,COD,36.83,1,15,31.31,2.0,3.0
ORD10717,2024-09-30,Beauty,Shampoo,Central,Multan,29.0,Returning,Wallet,26.55,1,0,26.55,5.0,3.0
ORD10025,2024-05-12,Beauty,Face Moisturizer,North,Gilgit,28.0,Returning,Cash on Delivery,20.6,3,0,61.8,4.0,5.0
ORD10900,2023-02-06,Books,Poetry Collection,Central,Bahawalpur,23.0,New,Wallet,16.87,4,0,67.48,,6.0
ORD10494,2024-09-29,Clothing,Running Shoes,Central,Bahawalpur,29.0,New,credit card,342.15,6,10,1847.61,5.0,5.0
ORD10564,2023-09-28,Home & Kitchen,Storage Jars,East,Faisalabad,39.0,New,cash on delivery,28.38,2,0,56.76,5.0,4.0
ORD10010,2023-10-12,Electronics,USB-C Cable,North,Peshawar,32.0,Returning,credit card,56.98,3,10,153.85,3.0,2.0
ORD10702,2023-02-11,Sports,Cycling Helmet,West,Gwadar,37.0,New,cash on delivery,22.89,1,0,22.89,4.0,1.0
ORD10351,2024-10-31,Books,Mystery Novel,Central,Multan,30.0,VIP,Debit Card,18.14,2,10,32.65,,1.0
ORD10026,2023-06-19,Clothing,Baseball Cap,West,Zhob,42.0,New,COD,15.83,1,5,15.04,3.0,3.0
ORD10681,2023-03-30,Home & Kitchen,Table Lamp,East,Sialkot,42.0,New,cash on delivery,42.68,5,0,213.4,5.0,
ORD10506,2024-12-03,Home & Kitchen,Coffee Maker,North,Islamabad,23.0,New,Credit Card,48.97,3,10,132.22,4.0,10.0
ORD10922,2024-05-10,Beauty,Shampoo,South,Hyderabad,28.0,Returning,Wallet,25.29,1,0,25.29,1.0,1.0
ORD10317,2023-12-29,Books,History Book,East,Sialkot,32.0,Returning,Wallet,16.84,3,0,50.52,3.0,1.0
ORD10936,2023-08-26,Home & Kitchen,Table Lamp,West,Gwadar,51.0,VIP,Cash on Delivery,20.72,1,0,20.72,5.0,6.0
ORD10987,2024-10-15,Electronics,Webcam,South,Sukkur,42.0,New,Debit Card,36.35,3,10,98.15,5.0,5.0
ORD10147,2023-09-02,Books,Self-Help Guide,South,Sukkur,47.0,Returning,Bank Transfer,10.14,5,20,40.56,,6.0
ORD10565,2023-06-26,Beauty,Perfume,West,Quetta,26.0,New,Cash on Delivery,11.77,1,0,11.77,4.0,6.0
ORD10061,2023-06-13,Sports,Cycling Helmet,South,Hyderabad,20.0,Returning,Debit Card,20.95,3,10,56.56,5.0,2.0
