sale_id,product_id,quantity,sale_date,region
1,108,6,2024-01-01,East
2,101,9,2024-01-10,West
3,102,9,2024-01-19,South
4,107,8,2024-01-28,North
5,103,6,2024-02-06,North
6,103,1,2024-02-15,North
7,101,1,2024-02-24,West
8,108,3,2024-03-04,West
9,107,9,2024-03-13,East
10,105,7,2024-03-22,South
11,101,5,2024-03-31,West
12,108,8,2024-04-09,North
13,108,4,2024-04-18,South
14,105,4,2024-04-27,West
15,101,9,2024-05-06,West
16,104,4,2024-05-15,North
17,108,1,2024-05-24,West
18,103,2,2024-06-02,North
19,107,1,2024-06-11,South
20,104,1,2024-06-20,North
