id,name,age,salary,department
1,Person_1,56.0,32695.0,Finance
2,Person_2,46.0,78190.0,Sales
3,,32.0,,Sales
4,Person_4,60.0,117538.0,
5,Person_5,25.0,69504.0,Engineering
6,Person_6,,63159.0,Finance
7,Person_7,,43986.0,HR
8,Person_8,36.0,91858.0,Engineering
9,Person_9,40.0,42666.0,HR
10,Person_10,28.0,68660.0,Marketing
11,Person_11,28.0,33561.0,Marketing
12,Person_12,41.0,56854.0,Sales
13,Person_13,53.0,94505.0,Finance
14,Person_14,57.0,82251.0,HR
15,Person_15,,52662.0,Engineering
16,Person_16,20.0,38392.0,Marketing
17,Person_17,39.0,60535.0,Sales
18,Person_18,,108603.0,Sales
19,Person_19,41.0,82256.0,HR
20,Person_20,61.0,,Marketing
21,,47.0,65222.0,Finance
22,Person_22,55.0,107373.0,Marketing
23,Person_23,19.0,109575.0,HR
24,Person_24,38.0,114651.0,HR
25,Person_25,50.0,93335.0,Marketing
26,Person_26,29.0,40965.0,HR
27,Person_27,39.0,54538.0,Marketing
28,Person_28,61.0,100592.0,Engineering
29,Person_29,42.0,38110.0,
30,Person_30,44.0,109309.0,Marketing
31,Person_31,59.0,57266.0,HR
32,Person_32,45.0,82992.0,HR
33,Person_33,33.0,112948.0,Sales
34,Person_34,32.0,36910.0,
35,Person_35,,30206.0,Engineering
36,Person_36,61.0,117054.0,Sales
37,Person_37,20.0,117897.0,Marketing
38,Person_38,54.0,53419.0,HR
39,Person_39,24.0,80636.0,Sales
40,Person_40,38.0,,Sales
41,Person_41,26.0,,Engineering
42,Person_42,56.0,117939.0,
43,Person_43,35.0,48141.0,Marketing
44,Person_44,,110356.0,HR
45,Person_45,42.0,101910.0,Engineering
46,Person_46,31.0,,Sales
47,Person_47,26.0,97214.0,HR
48,Person_48,43.0,63827.0,
49,Person_49,19.0,85820.0,Sales
50,Person_50,37.0,92623.0,Engineering
51,Person_51,45.0,111734.0,Sales
52,,64.0,105450.0,HR
53,Person_53,24.0,52299.0,Finance
54,Person_54,61.0,,Finance
55,Person_55,25.0,94044.0,Marketing
56,Person_56,64.0,72557.0,Sales
57,Person_57,52.0,79080.0,Sales
58,Person_58,31.0,32693.0,Marketing
59,Person_59,34.0,99163.0,Marketing
60,Person_60,53.0,55939.0,Marketing
61,Person_61,57.0,78925.0,HR
62,Person_62,21.0,72941.0,Sales
63,Person_63,19.0,51834.0,HR
64,Person_64,23.0,48047.0,Marketing
65,,59.0,56105.0,Sales
66,Person_66,21.0,,HR
67,Person_67,46.0,45707.0,HR
68,Person_68,35.0,51976.0,Marketing
69,Person_69,43.0,74262.0,Sales
70,Person_70,61.0,53776.0,Marketing
71,Person_71,51.0,,Sales
72,Person_72,27.0,96842.0,Finance
73,Person_73,53.0,91373.0,Engineering
74,Person_74,31.0,36776.0,Engineering
75,Person_75,,85016.0,Engineering
76,Person_76,32.0,39474.0,Marketing
77,Person_77,,88053.0,Finance
78,Person_78,,51959.0,Sales
79,Person_79,40.0,35530.0,HR
80,Person_80,57.0,33748.0,Sales
81,Person_81,38.0,43545.0,HR
82,Person_82,33.0,96199.0,Sales
83,Person_83,62.0,64766.0,Finance
84,Person_84,35.0,103530.0,
85,Person_85,,,
86,Person_86,41.0,98840.0,
87,Person_87,43.0,84384.0,Sales
88,,,81005.0,HR
89,Person_89,62.0,76576.0,Marketing
90,Person_90,58.0,69353.0,Marketing
91,Person_91,46.0,92003.0,Finance
92,Person_92,32.0,113211.0,Marketing
93,,62.0,82733.0,Marketing
94,Person_94,18.0,95318.0,Marketing
95,Person_95,42.0,119474.0,Engineering
96,,24.0,53664.0,Finance
97,Person_97,26.0,97172.0,Sales
98,,41.0,115616.0,HR
99,,18.0,56736.0,Sales
100,Person_100,61.0,30854.0,Finance
